W_REGN;TRICE;TBREAD;TMEAT;TRESTAURANT;TCLOTHFOOTWEAR;TTRANSPORT
NCR;24258;6519;17498;60060;4900;6054
NCR;15600;4392;5282;63320;3790;4776
NCR;8320;5182;2380;15800;940;1104
NCR;17160;6806;21416;39000;4515;26784
NCR;5876;4134;2759;48900;1900;10920
NCR;17680;6916;22128;121420;8040;37272
NCR;15366;2881;16463;58458;9510;22920
NCR;26156;6574;23660;44202;4070;12504
NCR;0;4084;726;10400;460;960
NCR;16120;5349;15666;34900;3845;9984
NCR;10880;3708;27530;32578;2535;2952
NCR;20384;4638;13314;50480;4120;1536
NCR;0;3360;1968;27600;3900;1842
NCR;21680;11104;34180;74200;15840;30048
NCR;12464;6157;27334;11650;7350;1920
NCR;26490;13920;48177;64640;27715;47754
NCR;11312;6858;2824;20190;2480;2976
NCR;17563;5012;25292;31392;2140;15912
NCR;17040;9024;15739;34300;7100;23406
NCR;17706;4976;24274;46380;1640;16152
NCR;11908;4201;22376;23400;2980;8064
NCR;16510;11626;10644;40330;1660;4236
NCR;14560;10052;42570;51670;5530;41568
NCR;22035;2374;5696;23160;1030;3078
NCR;7826;6905;14023;3250;330;6912
NCR;20280;13268;37369;47480;1560;10464
NCR;24856;9068;30372;29470;1620;16464
NCR;13650;10266;15644;75930;790;5496
NCR;19383;5132;20115;60710;10289;15912
NCR;18746;7511;6440;8120;4390;768
NCR;11690;5194;10405;19630;3370;3672
NCR;21138;6204;32720;105910;26995;20784
NCR;17472;1040;21457;14250;5365;4200
NCR;19110;995;23178;19600;5109;20088
NCR;16380;863;11064;11758;4165;2496
NCR;12376;1063;9664;1400;2800;1536
NCR;16555;2850;6464;32900;3450;2304
NCR;16250;2410;13580;32720;5254;20856
NCR;5460;5115;14684;10556;13920;3264
NCR;17942;3404;11564;20060;2730;1704
NCR;11648;4052;28176;34640;9030;36576
NCR;35024;8272;32511;115590;7823;46176
NCR;8640;3576;2803;51620;3525;1536
NCR;10140;3662;5361;48230;1330;15744
NCR;20800;5722;49632;44270;10000;55392
NCR;16380;5072;22200;12420;2930;9312
NCR;13104;2838;549;18113;1055;2304
NCR;16016;3046;5731;23220;5320;28656
NCR;13115;4156;11890;20246;1910;5934
NCR;9404;5434;2985;29224;1855;2304
NCR;29120;12041;33522;37410;6270;17460
NCR;11180;3172;8486;76920;6880;29208
NCR;18382;3030;27838;31870;6880;20736
NCR;5538;2837;4351;8220;730;8256
NCR;18200;1680;6328;12400;1970;2598
NCR;6461;2522;6838;37980;6425;22800
NCR;24388;3378;20834;49830;11970;8760
NCR;24012;6324;36778;56910;11700;25392
NCR;24976;9338;50648;173000;30775;62016
NCR;31395;10438;14278;9310;4100;18600
NCR;26604;5814;31572;68900;34725;46680
NCR;11674;2683;5723;23400;3200;17472
NCR;23660;10504;12448;32970;3960;9600
NCR;12376;8632;15405;30620;3930;8208
NCR;13780;4292;19872;22180;3880;8088
NCR;15680;3384;19042;30750;7610;19344
NCR;20332;3567;15993;10500;3750;18408
NCR;13806;3622;16185;11110;3670;9360
NCR;5382;3860;16214;10720;7855;18600
